Episodio,Fecha de publicación,Escuchas,Retención,Me gusta,Comentarios
EC-078. Aviones que escribieron la historia con Pilar Alguacil,2024-01-13 18:10:04,848,52.48 %,9,2
EC-077. Héroes del cielo virtual con GearUp y Overspeed,2023-12-28 16:43:12,853,61.90 %,12,6
EC-076. Solo para aerotrastornados. Episodio 6,2023-12-10 16:43:23,829,55.70 %,10,5
EC-074. Ser instructor militar en la Academia General del Aire con Alberto Vicente Fernández,2023-11-23 11:14:29,739,66.29 %,5,4
EC-075 ¿Qué ha pasado con Ocaña? con Paco García Alonso,2023-11-10 13:23:09,695,61.11 %,6,2
EC-073. Solo para aerotrastornados. Episodio 5,2023-10-31 09:59:36,599,61.04 %,9,10
EC-072. Aviación y creación de contenido con Sergio Guillén "Gear Up",2023-09-17 11:31:29,907,45.78 %,8,4
EC-071. Solo para aerotrastornados. Episodio 4,2023-08-31 16:47:53,908,47.67 %,10,7
EC-070. Analizando la saga Top Gun con Javier Sanchez-Horneros,2023-08-13 11:22:48,1171,55.70 %,14,18
EC-069. Análisis Mentores y Medallas con Javier Sánchez-Horneros,2023-07-17 12:04:59,696,63.83 %,7,4
EC-068. Solo para aerotrastornados. Episodio 3,2023-06-30 12:22:43,821,64.71 %,7,5
EC-067. ¿Cuánto cuesta volar? con Fernando García,2023-06-11 13:06:18,818,58.21 %,5,2
EC-066. Solo para aerotrastornados. Episodio 2.,2023-05-19 11:26:57,806,58.11 %,8,0
EC-065. Patrulla Águila Virtual GTA,2023-05-01 16:16:29,570,36.67 %,4,2
EC-064. Race Fest 2023,2023-04-22 19:35:05,463,54.55 %,9,2
EC-063. VORes ILSes y más con Javier Ruiz,2023-04-10 12:45:45,757,55.07 %,10,2
EC-062. Campamento aeronáutico: cuando sueñas con volar con Alberto Díaz de la Quintana,2023-03-26 10:29:26,533,57.14 %,3,4
EC-061. Sobrevolando las pirámides con Romina Sosa Schnoerr,2023-03-12 17:00:16,592,46.00 %,8,2
EC-060. Solo para aerotrastornados dos horas de curiosidades,2023-02-21 21:38:53,1117,56.18 %,5,0
EC-059. Pasión e historia de la aviación española con Antonio Morales Escudero,2023-02-11 11:22:56,668,69.44 %,18,4
EC-058. Sin límites con Gabriel Barroso de María,2023-01-31 08:41:19,460,48.98 %,3,0
EC-057. Volar en compañía regional con Borja Sánchez Oñate,2023-01-17 18:51:39,465,70.15 %,4,4
EC-056. Noticias y más noticias. Despidiendo el 2022.,2022-12-28 20:37:21,295,62.90 %,0,0
EC-055. 40 años de MS Flight Simulator con Ernest "Tuckie" Artigas,2022-12-15 08:14:24,311,56.86 %,2,0
EC-O54. F-35 plataforma de combate aéreo con Javier Sanchez-Horneros (parte II),2022-12-01 09:50:04,486,48.98 %,6,0
EC-053. F-35 plataforma de combate con Javier Sanchez-Horneros (parte I),2022-11-17 11:13:06,449,52.44 %,4,2
EC-052. Mar cielo y pasión con Francesco Padovano,2022-11-03 10:17:02,192,52.78 %,2,0
EC-051. Héroes del aire con Ivan Vozmediano,2022-10-14 10:40:58,301,56.90 %,3,0
EC-050.Cuando la realidad nos supera,2022-09-26 14:08:23,178,68.89 %,1,2
EC-049. Instructores de vuelo: vocación y trabajo duro con Hugo García,2022-09-09 10:09:00,212,73.33 %,1,0
EC-048. Especial "Sueltas" celebrando nuestro segundo aniversario,2022-08-25 14:18:27,210,36.00 %,0,0
EC-047. Rompiendo los límites con Carlos de Albert,2022-08-11 22:21:05,148,58.14 %,0,0
EC-046. Simulación aérea: un agujero negro de tiempo personal,2022-07-25 19:07:39,200,46.15 %,0,0
EC-045. F22 el TOP de la aviación actual. Con Javier Sánchez-Horneros,2022-07-11 18:17:22,435,63.79 %,6,0
EC-044. Aviación Corporativa con Carlos Marcano,2022-06-28 15:36:30,188,53.85 %,0,0
EC-043. Sin entrar en pérdida: simulación aérea,2022-06-14 10:46:37,177,56.41 %,0,0
EC-042. Motores radiales madera y tela con Fernando García,2022-06-02 13:53:08,194,69.23 %,1,0
EC-041. Girando térmicas con Javier Reinés,2022-05-22 11:57:01,137,72.00 %,1,0
EC-040. Volar en VFR: Episodio 5. Toma Final,2022-05-03 12:05:19,196,63.33 %,0,0
EC-039. Cazas Next Generation con Javier Sánchez-Horneros,2022-04-21 13:20:27,311,63.41 %,2,0
EC-038. Cazas modernos con Javier Sánchez-Horneros,2022-04-13 17:16:01,322,57.58 %,2,0
EC-037. Volar en VFR Ep. 4: "¡Volamos!",2022-03-29 12:00:51,231,62.50 %,0,0
EC-036. Sillas Voladoras con Elisabeth Heilmeyer,2022-03-21 12:49:20,129,47.06 %,1,0
EC-035. Volar en VFR Ep. 3: "¡Anemómetro vivo!",2022-03-03 18:03:44,196,62.50 %,0,0
EC-034. Control simulación y divulgación aérea con Ramón Sainz de Vicuña,2022-02-14 12:45:32,190,61.76 %,0,0
EC-033. Volar en VFR Ep. 2: Cuerdas calzos y pitot,2022-02-01 10:06:56,236,72.00 %,1,2
EC-032. Sistemas FCAS con Javier Sánchez-Horneros,2022-01-16 17:56:30,175,56.41 %,1,0
EC-031. Último programa del año: rodando al 2022,2021-12-31 11:09:32,116,40.00 %,1,3
EC-030. Volar en VFR Ep.1: Planificación de vuelo,2021-12-24 17:48:22,237,64.71 %,2,0
EC-029. Spotting: a la caza de aviones con Jorge Guardia,2021-12-09 13:56:55,162,66.67 %,0,0
EC-028. 20.000 mil horas de vuelo alrededor del planeta con Luis Fernández de Bobadilla,2021-11-11 18:18:05,179,90.00 %,0,0
EC-027. Seguridad en Formación con theflightinstructor,2021-10-19 17:05:42,144,53.33 %,1,0
EC-026. Hablando de Drones con Ernest "Tuckie" Artigas ,2021-10-04 11:32:44,155,76.92 %,0,0
EC-025. Celebrando el primer aniversario,2021-09-17 10:38:53,130,42.11 %,0,0
EC-024. De Simuvuelo al A380 con Giorgio La Pira,2021-09-02 11:23:50,204,68.00 %,0,2
EC-023. Volviendo a la escuela de vuelo con Javier Sánchez-Horneros,2021-08-18 12:53:18,156,65.52 %,0,0
EC-022. Retomando el vuelo,2021-08-04 22:27:36,140,77.27 %,0,0
EC-021. Del cielo al espacio con Daniel Ventura González,2021-07-21 12:08:14,148,100.00 %,0,0
EC-020. El control de tráfico aéreo con Victoria Pascual,2021-07-07 16:01:53,217,-,1,0
EC-019. La historia del Aeroclub Simuvuelo,2021-06-22 09:24:45,160,-,1,0
EC-018. El mundo del vuelo acrobático con Ernest ,2021-06-07 12:58:19,174,-,0,0
EC-017. Simulación de combate con Javier Sánchez-Horneros,2021-05-11 12:33:54,171,-,0,0
EC-016. Aviación militar con Javier Sánchez-Horneros,2021-04-27 16:44:42,223,-,1,0
EC-015. De PPL a ATPL: Historias de un estudiante piloto,2021-04-07 14:14:41,182,-,0,0
EC-014. Del pasaje al cockpit: Vida de una TCP con María Crespo,2021-03-22 11:39:04,158,-,0,0
EC-012. Simuladores y Realidad Virtual,2021-03-11 13:33:44,156,-,0,0
EC-011. El vuelo a vela con Carlos Ayllón,2021-02-24 10:07:32,177,-,1,0
EC-010. Año de nieves... ¿año de bienes?,2021-01-19 16:59:37,120,-,0,0
EC-009. Simuladores: el diseño de escenarios,2020-12-29 17:47:20,137,-,0,0
EC-008. De la ingeniería aeronáutica al vuelo real,2020-12-07 13:22:53,200,-,0,0
EC-007. Pasión: historias de una comandante,2020-11-10 19:22:49,212,-,1,0
EC-006. Ilusión por volar con Alberto Díaz de La Quintana,2020-10-27 18:41:43,136,-,0,0
EC-005. ¿Estamos ante el peor año en la historia de la aviación?,2020-10-13 11:06:52,142,-,0,0
EC-004. Exprimiendo Flight Simulator 2020 (Segunda Parte),2020-09-28 23:04:49,173,-,1,0
EC-003. Exprimiendo Flight Simulator 2020,2020-09-15 10:22:47,183,-,2,0
EC-002. Primer contacto con Flight Simulator 2020: un reinicio de la simulación aérea.,2020-09-01 12:29:24,232,-,1,0
EC-001. ¿Qué es la simulación aérea?,2020-08-25 18:29:35,259,-,3,0
